problem_set_ID,unit,filename,problem_IDs,title,path_plus_filename
0,02-Trig+3D,placeholder.tex,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]","('All trig unit problems', 'p_IDs: 36-66', 'IB Math / 02-Trig+3D / trig-unit.tex')",/Users/chris/GitHub/course-files/IB2021/02-Trig+3D/trig_unit.tex
1,02-Trig+3D,2-2CW-Law-of-sines-cosines.tex,"[39, 40, 43, 44, 36, 47, 48, 49, 51, 46, 45]","('2.2 Applications of the laws of sines and cosines', 'p_IDs: 36-66', 'IB Math / 02-Trig+3D / 2-2CW-Law-of-sines-cosines.tex')",/Users/chris/GitHub/course-files/IB2021/02-Trig+3D/2-2CW_Laws-of-sines-cosines.tex
